Under-sampling,Data-split labelled and unlabelled,Accuracy,Precision,Recall,F1-Score,ARI,response_time_data_preprocessing,response_time_tsne,response_time_undersampling,response_time_model_training
17,55,0.974,0.9753779891149021,0.974,0.9738274177476997,0.9246351338622338,10.8817880153656,304.1748118400574,0.018947124481201172,3.5500240325927734
76,54,0.9723333333333334,0.9736602166721077,0.9723333333333334,0.9720751942215348,0.9197942607835617,8.758603572845459,305.4495186805725,0.011940717697143555,4.912527799606323
78,75,0.979,0.9796487402645413,0.979,0.9788232514097254,0.9384841617803268,10.73128080368042,305.4456284046173,0.007214784622192383,3.3757646083831787
28,62,0.9786666666666667,0.9793305916007837,0.9786666666666667,0.9784826642540183,0.9375284082047012,17.86577296257019,311.6017258167267,0.009801149368286133,4.255979537963867
41,55,0.9783333333333334,0.9790700016073057,0.9783333333333334,0.9781569815436549,0.9366217046070321,10.204585075378418,305.5129373073578,0.011603116989135742,3.5522964000701904
79,76,0.977,0.9777708007844134,0.977,0.9767850736479484,0.9327837997631957,10.029826402664185,304.58422589302063,0.01830291748046875,3.802095651626587
84,67,0.9763333333333334,0.9774488051051515,0.9763333333333334,0.976184213311326,0.9311468437861478,10.56619119644165,302.708132982254,0.018622636795043945,3.8956875801086426
94,63,0.9746666666666667,0.9761310266928245,0.9746666666666667,0.9745442950495082,0.9266311340961487,10.149951934814453,304.8032658100128,0.012152910232543945,4.312090635299683
84,27,0.9686666666666667,0.9704079742030406,0.9686666666666667,0.9683432826617416,0.9096498565024519,8.160098552703857,306.1086573600769,0.017657041549682617,5.238209009170532
47,11,0.9753333333333334,0.9762732240335519,0.9753333333333334,0.9750992644436527,0.9281060315954293,7.884325742721558,306.64263010025024,0.011906623840332031,4.976922273635864
