Under-sampling,Data-split labelled and unlabelled,Accuracy,Precision,Recall,F1-Score,ARI,response_time_data_preprocessing,response_time_tsne,response_time_undersampling,response_time_model_training
14,62,0.9796666666666667,0.9803124962722574,0.9796666666666667,0.9795110484057196,0.9404202343086492,8.217391729354858,304.65975999832153,0.017719268798828125,3.620636463165283
77,10,0.9766666666666667,0.9776295377750555,0.9766666666666667,0.9764899056154586,0.9319816367061876,7.781939744949341,307.9111292362213,0.015147686004638672,3.6008341312408447
98,73,0.9716666666666667,0.9730231896010053,0.9716666666666667,0.9713861955470751,0.9179046818616822,10.348742008209229,306.0091607570648,0.01337122917175293,4.211910724639893
13,50,0.9716666666666667,0.9729454798901034,0.9716666666666667,0.9713655377507728,0.9178368918305009,8.74664306640625,304.04077315330505,0.02364373207092285,4.498960733413696
87,87,0.9723333333333334,0.9736377776548197,0.9723333333333334,0.9720692382930917,0.9197747570610967,8.68930983543396,306.1758666038513,0.026833057403564453,4.805278539657593
45,17,0.9783333333333334,0.9790227545329586,0.9783333333333334,0.9781445949339812,0.9365818741727252,9.498375177383423,306.8369691371918,0.026554584503173828,3.74473237991333
22,85,0.974,0.97497593840231,0.974,0.973721075857409,0.92428866421355,10.372551202774048,303.4287030696869,0.007909774780273438,4.445784330368042
13,25,0.9803333333333333,0.981008246452415,0.9803333333333333,0.980206436711894,0.9423849327330263,8.39228105545044,307.9905962944031,0.014310121536254883,3.6801018714904785
31,46,0.9763333333333334,0.9771700655401545,0.9763333333333334,0.9761108462888947,0.9309095051876258,11.242044925689697,304.1727087497711,0.012843608856201172,4.561242580413818
50,82,0.9796666666666667,0.9808356896010053,0.9796666666666667,0.9796477339711934,0.9408577856602832,8.484541654586792,307.59832787513733,0.02165818214416504,3.5197103023529053
68,16,0.9753333333333334,0.9762995342060188,0.9753333333333334,0.9751062057924001,0.9281285585624038,10.909400939941406,303.3454020023346,0.01307821273803711,3.631136417388916
