Under-sampling,Data-split labelled and unlabelled,Accuracy,Precision,Recall,F1-Score,ARI,response_time_data_preprocessing,response_time_tsne,response_time_undersampling,response_time_model_training
91,53,0.9726666666666667,0.9738945166178246,0.9726666666666667,0.9723970652534956,0.9206667514632766,10.26486086845398,309.3189630508423,0.006259441375732422,3.649622917175293
50,17,0.9853333333333333,0.9859514687100894,0.9853333333333333,0.9853262312292483,0.9569532008578149,8.819671630859375,309.16973543167114,0.00745844841003418,3.49920392036438
75,66,0.98,0.981132075471698,0.98,0.9799819837854069,0.9417961533836614,9.564170360565186,305.68908429145813,0.012876510620117188,3.552079677581787
60,15,1.0,1.0,1.0,1.0,1.0,7.299952268600464,310.6202280521393,0.019494295120239258,5.118209362030029
78,44,1.0,1.0,1.0,1.0,1.0,11.718384027481079,308.3420343399048,0.0064411163330078125,3.556962728500366
13,54,0.9936666666666667,0.9937847562970232,0.9936666666666667,0.9936660950317434,0.9811690763699356,10.570014715194702,306.2535138130188,0.010457515716552734,3.6657230854034424
78,27,1.0,1.0,1.0,1.0,1.0,8.037860870361328,308.7675874233246,0.021723270416259766,4.882972478866577
86,44,0.9746666666666667,0.9757664093530334,0.9746666666666667,0.9744480248783604,0.9263181853768834,10.724879026412964,305.2811620235443,0.016820669174194336,4.908240556716919
76,43,1.0,1.0,1.0,1.0,1.0,10.672106981277466,305.5751860141754,0.013810157775878906,4.285966157913208
12,53,0.9943333333333333,0.9944280563749589,0.9943333333333333,0.994332923887084,0.9831340657539627,11.12816858291626,309.7221736907959,0.006893634796142578,3.4812653064727783
