Under-sampling,Data-split labelled and unlabelled,Accuracy,Precision,Recall,F1-Score,ARI,response_time_data_preprocessing,response_time_tsne,response_time_undersampling,response_time_model_training
76,36,0.9683333333333334,0.9699469741860005,0.9683333333333334,0.9679586369646518,0.9085844739092325,8.318774461746216,283.42961025238037,0.014393806457519531,3.3566744327545166
56,44,0.9736666666666667,0.9749417799742862,0.9736666666666667,0.973452860087523,0.9235861272179289,8.831676483154297,283.01148533821106,0.011883020401000977,3.231609582901001
27,67,0.9756666666666667,0.9766171155068321,0.9756666666666667,0.9754484895987343,0.9290783582108656,10.095309257507324,285.1406397819519,0.013251543045043945,3.3842787742614746
48,76,0.971,0.972432090780809,0.971,0.9707086449278304,0.9160573726950416,9.948715686798096,282.51987648010254,0.010562419891357422,4.621447324752808
61,77,0.9826666666666667,0.9831083819714656,0.9826666666666667,0.982547180400394,0.9489992834650409,9.855056524276733,281.99452900886536,0.011890888214111328,3.4855992794036865
65,73,0.9853333333333333,0.9857714857714858,0.9853333333333333,0.9852797732830868,0.9568070745950965,9.816727876663208,286.23050260543823,0.02237248420715332,5.571821212768555
24,68,0.98,0.9805922859300986,0.98,0.9798410550892676,0.9413454703050307,8.955055713653564,312.46080327033997,0.021605730056762695,3.771803617477417
73,85,0.9726666666666667,0.9738945166178246,0.9726666666666667,0.9723970652534956,0.9206667514632766,8.547155618667603,314.1385371685028,0.011125802993774414,3.6267714500427246
19,15,0.976,0.9772713499483016,0.976,0.9758792365204978,0.930315721895949,8.697151184082031,304.2127540111542,0.014268159866333008,3.665447950363159
